event_id,gamma_track_id,scatter_x_mm,scatter_y_mm,scatter_z_mm,absorber_x_mm,absorber_y_mm,absorber_z_mm,scatter_energy_keV,absorber_energy_keV,total_energy_keV,incident_energy_keV,computed_theta_deg,geometric_theta_source_deg,arm_source_deg,scatter_sector,absorber_sector,scatter_pixel,absorber_pixel,delta_time
1274,406,18.215867168716297,-35.49738737094219,-10.557200992465223,47.37910636691991,-49.11956642053632,-3.982706952445222,23.87407666390421,183.91116218383624,207.78523884774046,207.78523884774046,47.09731354555057,45.79336639010503,1.3039471554455417,7,7,0,26,0.0
3665,710,-39.18545404766425,4.949392418260116,4.4305765773459305,-64.05624856290069,-9.070636544559068,-11.210858266619827,114.728575735661,291.9126845686618,406.6412603043228,406.6412603043228,59.59470650094956,49.756054664347985,9.838651836601578,4,4,21,48,0.0
4625,855,19.971565878399367,35.2320387280024,8.756480297955592,44.16829662860502,47.390520800331636,12.046517889577421,46.97400271945302,210.42688743849044,257.4008901579435,257.4008901579435,56.16286135509228,33.69326285648105,22.469598498611234,1,1,62,39,0.0
4658,434,-39.83876222391958,2.2850349173861044,-5.8197650261378095,-52.82960716807622,36.053110890690405,-7.449609482068225,39.580844503520616,163.13991618255733,202.72076068607794,202.72076068607794,67.14319288759879,65.56383904700019,1.5793538405985998,4,3,26,57,0.0
5215,678,29.713703864704215,24.479253103587734,7.770738111971466,48.53991703694308,42.67236918888791,8.483360278161125,7.289333758149498,379.984950863641,387.2742846217905,387.2742846217905,12.918716516427182,10.832399713181118,2.0863168032460635,1,1,22,22,0.0
6426,669,25.90261089878144,32.5438626397133,0.36216049616418294,48.74674502915159,41.41216182226551,-8.758021030356337,156.7270890203932,257.71073646146766,414.43782548186084,414.43782548186084,75.51338467186893,36.25584953583078,39.25753513603816,1,1,44,17,0.125
7013,653,-38.972021829442006,11.574052188710466,-10.153646848032755,-63.055520340408115,10.385155920855457,-4.040796963110791,50.62707273003264,217.1864557991262,267.8135285291588,267.8135285291588,56.27358930974217,34.13794316030642,22.13564614943575,4,4,0,2,0.0625
9236,771,34.40425444487812,-23.875458786315814,-4.108013757483959,56.11978199964122,-40.14590522847557,11.12866881365256,25.610109053943027,277.06761351077876,302.67772256472176,302.67772256472176,32.44044432410072,34.97507422695378,-2.5346299028530623,7,7,50,63,0.125
12579,702,20.96127527629732,32.551127352571825,-7.659540652231091,47.88118457610156,45.70966036241569,11.231217891494303,171.03862705642356,251.69380701442785,422.7324340708514,422.7324340708514,79.71413380286948,52.6613087639058,27.052825038963682,1,1,49,31,0.0
12625,173,-33.445984709624334,23.324735735275187,-7.985065706785948,-66.74863168717279,7.974809614106364,-4.637060601398292,39.476118508253606,173.57311685085622,213.04923535910984,213.04923535910984,62.9670102477369,61.541559393013834,1.425450854723067,3,4,49,10,0.125
